*,クリップボード内のテキストからマテリアル情報を上書きします,用剪贴板中的文本覆盖材质信息,
*,マテリアルの新規作成,创建新材质,
*,マテリアル名を上書きする,覆盖材质名称,
*,上書き設定,覆盖设置,
Operator,このテクスチャを見る,查看纹理,
*,このテクスチャを見る,查看此纹理,
Operator,マテリアルのセットアップ,材质设置,
*,マテリアルの各種フラグを初期化する,初始化材质的各项标志,
*,プロパティ タイプ:,属性类型：,
Operator,mateから,来自 mate,
Operator,クリップボードから,来自剪贴板,
*,クリップボードからマテリアルを貼付けました,从剪贴板粘贴材质,
*,マテリアルテキストをクリップボードにコピーしました,已将材质文本复制到剪贴板,
*,実ファイルパス:,实际文件路径：,
*,x,x,
*,y,y,
*,スケール:,缩放：,
*,{0:f},{0:f},
Operator,mateへ,导出到 .mate,
*,種類:,类型：,
*,マテリアル名,材质名称,
*,シェーダー1,着色器 1,
*,シェーダー2,着色器 2,
Operator,拡張子を省略,省略扩展名,
*,テクスチャパス:,纹理路径：,
*,簡易テクスチャ情報,简单纹理信息,
Operator,COM3D2用に変更,切换为 COM3D2 材质,
Operator,CM3D2用に変更,切换为 CM3D2 材质,
*,クリップボードへのコピーを中止します。:,已取消复制到剪贴板：,
Operator,テクスチャパスを生成,生成纹理路径,
Operator,フラグセットアップ,标志设置,
*,マテリアルプロパティ,材质属性,
*,透明度,透明度,
# misc_MESH_MT_shape_key_specials.py
Operator,シェイプキーぼかし,平滑形态键,
*,アクティブ、もしくは全てのシェイプキーをぼかします,平滑活动或全部形态键,
*,ライナー,线性,
*,スムーズ1,平滑 1,
*,スムーズ2,平滑 2,
Operator,このシェイプキーをベースに,基于此形态键,
*,アクティブなシェイプキーを他のシェイプキーのベースにします,以其他形态键为基础设置活动形态键,
*,素メッシュを調整,调整原始网格,
*,他シェイプを調整,调整其他形状,
Operator,Copy shape key values,复制形态键值,
*,Copy the shape key values from the other selected mesh,从其他选中网格复制形态键数值,
*,Apply as drivers,作为驱动器应用,
Operator,シェイプキーの変形に乗算,乘算形态键变体,
*,シェイプキーの変形に数値を乗算し、変形の強度を増減させます,将形态键变形乘以一个数值，以增强或减弱变形强度,
*,シェイプキーの拡大率です,形态键扩大率,
Operator,空間ぼかし・シェイプキー転送,高精度形态键传递,
*,アクティブなメッシュに他の選択メッシュのシェイプキーを遠いほどぼかして転送します,将其他选中网格的形态键传递到活动网格，并进一步进行平滑,
*,Bind to current source mix,绑定到当前源混合,
*,最初に全シェイプキーを削除,首先删除所有形态键,
*,変形のないシェイプキーを削除,移除无变形的形态键,
*,"Step Size (low = quality, high = speed)",步长（低 = 质量，高 = 速度）,
Operator,クイック・シェイプキー転送,快速形态键传递,
*,アクティブなメッシュに他の選択メッシュのシェイプキーを高速で転送します,快速将其他选中网格的形态键传递到活动网格,
Operator,Weighted shape key transfer,加权形态键传递,
*,"Transfers the shape keys of other selected mesh to the active mesh, using matching vertex groups as masks",将其他选中网格的形态键传递到活动网格，并使用匹配的顶点组作为遮罩,
*,Active Vertex Group,活动顶点组,
*,Range magnification,范围倍率,
*,Vertex Groups Selector,顶点组选择器,
*,Only Deform,仅变形,
*,Only show deforming vertex groups,仅显示变形顶点组,
*,Other,其他,
*,Only show non-deforming vertex groups,仅显示非变形顶点组,
*,Filter Empty,过滤空项,
*,Whether to filter empty vertex groups,是否过滤空顶点组,
*,Reverse Empty,反转空项过滤,
*,Reverse empty filtering,反转空项过滤,
*,Importance,重要性,
*,Sort groups by their average weight in the mesh,按组在网格中的平均权重排序,
*,CM3D2 Converter,CM3D2 Converter,
*,Shape key transfer canceled. Results may not be as expected. Use Undo / Ctrl Z to revert changes,形态键传递已取消。结果可能不符合预期。请使用撤销 / Ctrl Z 回退更改,
*,Press ESC to cancel shape key transfer,按 ESC 取消形态键传递,
*,len(matched) = {length},len(matched) = {length},
*,Error while preparing shapekey transfer.,准备形态键传递时出错。,
*,Error while transfering shapekeys. Results may not be as expected. Use Undo / Ctrl Z to revert changes,传递形态键时出错。结果可能不符合预期。请使用撤销 / Ctrl Z 回退更改,
*,Error while canceling shapekey transfer.,取消形态键传递时出错。,
*,Error while performing shapekey transfer.,执行形态键传递时出错。,
*,Error while finishing shapekey transfer.,完成形态键传递时出错。,
# misc_MESH_MT_vertex_group_specials.py
Operator,旧・頂点グループぼかし,平滑顶点组（旧）,
*,アクティブ、もしくは全ての頂点グループをぼかします,平滑全部顶点组或仅活动顶点组,
*,他頂点グループも調節,同时调整其他顶点组,
Operator,頂点グループに乗算,顶点组乘数,
*,頂点グループのウェイトに数値を乗算し、ウェイトの強度を増減させます,将顶点组权重乘以一个数值，以增强或减弱权重强度,
Operator,空間ぼかし・ウェイト転送,高精度顶点组传递,
*,アクティブなメッシュに他の選択メッシュの頂点グループを遠いほどぼかして転送します,将其他选中网格的顶点组传递到活动网格，并按距离进行平滑。,
*,すでにある頂点グループを削除 (ロックで保護),删除已有顶点组（锁定保护）,
Operator,頂点グループぼかし,平滑顶点组,
*,反復,迭代,
*,拡大縮小,扩大/缩小,
Operator,クイック・ウェイト転送,快速顶点组传递,
*,アクティブなメッシュに他の選択メッシュの頂点グループを高速で転送します,快速将先前选中网格的顶点组传递到活动网格。,
*,転送後にクリーンを実行,传递后清理,
*,転送後に割り当てのない頂点グループを削除,传递后删除未分配的顶点组,
*,選択頂点のみ(参照),仅选中顶点（来源）,
*,選択頂点のみ(対象),仅选中顶点（目标）,
*,参照要素,参考元素,
*,最も近い頂点,最近的顶点,
*,最も近い辺,最近的边,
*,最も近い面,最近的面,
*,投影先,投影目标,
Operator,割り当てのない頂点グループを削除,删除空顶点组,
*,どの頂点にも割り当てられていない頂点グループを全て削除します,将删除所有没有分配任何顶点的顶点组,
*,これ以下の影響は切り捨て,阈值,
*,面がひとつも存在しません、辺モードに変更します,没有面，切换到边模式,
*,辺がひとつも存在しません、頂点モードに変更します,没有边，切换到顶点模式,
*,頂点がひとつも存在しません、中止します,不存在顶点，操作中止,
# misc_OBJECT_PT_context_object.py
*,CM3D2用ボーン情報,CM3D2 骨骼信息,
# misc_OBJECT_PT_transform.py
Operator,Align to Base Bone,对齐到基础骨骼（BaseBone）,
*,Align the object to it's armature's base bone,将对象对齐到其骨架的基础骨骼（BaseBone）,
*,Bone Data Source,骨骼数据来源,
*,This will decide from where the Bone Data is gathered from.,这将决定骨骼数据从何处获取,
*,Armature,骨架,
*,Text,文本,
*,Object Data,物体数据,
*,Armature Data,骨架数据,
*,Preserve Mesh,保留网格,
*,"Align object transform, then fix mesh transform so it remains in place.",对齐对象变换，然后修正网格变换，使其保持在原位,
Operator,オブジェクトの位置を合わせる,对齐对象位置,
*,アクティブオブジェクトの中心位置を、他の選択オブジェクトの中心位置に合わせます,将活动对象的中心位置对齐到其他选中对象的中心位置,
*,Could not find 'BaseBone' in {source_name} Please add it or change source,在 {source_name} 中找不到 'BaseBone'(基础骨骼)，请添加它或更改来源,
# misc_RENDER_PT_bake.py
Operator,ベイク用の画像を作成,创建用于烘焙的图像,
*,アクティブオブジェクトに素早くベイク用の空の画像を用意します,为活动对象准备一张用于烘焙的空白图像,
*,高,高,
*,128 px,128 px,
*,256 px,256 px,
*,512 px,512 px,
*,1024 px,1024 px,
*,2048 px,2048 px,
*,4096 px,4096 px,
*,幅,宽度,
Operator,AO・ベイク,环境光遮蔽（AO）烘焙,
*,アクティブオブジェクトに素早くAOをベイクします,快速将环境光遮蔽（AO）烘焙到活动对象上,
*,処理方法,处理方式,
*,レイトレース,光线追踪,
*,近似(AAO),近似（AAO）,
*,他オブジェクトの影響を受けない,隐藏其他对象,
*,精度,精度,
Operator,膨らみ・ベイク,凸起烘焙,
*,アクティブオブジェクトに膨らんでいる部分を白くベイクします,将活动对象中凸起的部分快速烘焙为白色,
Operator,密度・ベイク,密度烘焙,
*,アクティブオブジェクトに素早く密度をベイクします,快速将密度烘焙到活动对象,
*,比較対象,比较对象,
*,パーツごと,每个部分,
Operator,擬似AO・ベイク,伪 AO 烘焙,
*,アクティブオブジェクトに素早く擬似AOをベイクします,在活动对象上快速烘焙伪 AO,
*,ブラー反復度,模糊迭代次数,
*,ブラー強度,模糊强度,
*,ハイライト角度,高光角度,
*,擬似AO角度,伪 AO 角度,
*,擬似AOのみ,伪 AO 仅,
Operator,グラデーション・ベイク,渐变烘焙,# This entry may have been malformed
*,アクティブオブジェクトに素早くグラデーションをベイクします,快速为活动对象烘焙渐变,
Operator,ヘアー・ベイク,头发烘焙,
*,アクティブオブジェクトに素早くCM3D2の髪風のテクスチャをベイクします,快速为活动对象烘焙 CM3D2 风格的头发纹理,
*,AOの精度,AO 精度,
*,光の強さ,光照强度,
*,天使の輪の強さ,光环强度,
*,髪色,头发颜色,
*,AOを使用,使用 AO,
Operator,ヘミライト・ベイク,半球灯烘焙,
*,アクティブオブジェクトに素早くヘミライトの陰をベイクします,烘焙半球灯阴影,
Operator,メッシュ縁・ベイク,网格边缘烘焙,
*,アクティブオブジェクトに素早くメッシュの縁を黒くベイクします,将网格边缘烘焙到对象上,
*,範囲,范围,
Operator,メッシュ間距離・ベイク,网格间距离烘焙,
*,アクティブオブジェクトに他オブジェクトとの距離をベイクします,在活动对象上烘焙与其他对象之间的距离,
Operator,金属・ベイク,金属烘焙,
*,アクティブオブジェクトに素早く金属風にベイクします,快速烘焙金属对象,
*,映り込み強さ,反射强度,
*,ハイライト強さ,高光强度,
Operator,白い液体・ベイク,白色液体烘焙,
*,アクティブオブジェクトに白い液体をベイクします,将白色液体烘焙到对象上,
*,テクスチャサイズ,纹理尺寸,
Operator,影・ベイク,阴影烘焙,
*,アクティブオブジェクトに素早く影をベイクします,快速为活动对象烘焙阴影,
*,影のみ,仅阴影,
*,光源の数,光源数量,
*,光源の最大角度,光源最大角度,
Operator,側面陰・ベイク,侧面阴影烘焙,
*,アクティブオブジェクトに素早く側面陰をベイクします,快速为活动对象烘焙侧面阴影,
*,二極化のぼかし,二极化模糊,
*,二極化のしきい値,二极化阈值,
*,二極化を有効,启用二极化,
Operator,UV縁・ベイク,UV 边缘烘焙,
*,アクティブオブジェクトに素早くUVの縁を黒くベイクします,快速烘焙 UV 边缘,
*,ぼかし強度,模糊强度,
*,ぼかしタイプ,模糊类型,
*,フラット,平坦,
*,テント,三角,
*,二次式,二次,
*,三次式,三次,
*,ガウシアン,高斯,
*,高速ガウシアン,快速高斯,
*,Catrom,Catrom,
*,Mitch,Mitch,
*,余白を透過,留白透明,
*,正規化,规范化,
*,CM3D2用ベイク,CM3D2 烘焙,
Operator,新規画像,新建图像,
Operator,AO (重),AO（重）,
Operator,擬似AO,伪 AO,
Operator,ヘミライト,半球灯,
Operator,影 (重),阴影（重）,
Operator,側面陰,侧面阴影,
Operator,グラデーション,渐变,
Operator,UV縁,UV 边缘,
Operator,メッシュ縁,网格边缘,
Operator,密度,密度,
Operator,膨らみ,凸起,
Operator,メッシュ間距離,网格间距离,
Operator,金属,金属,
Operator,髪,头发,
Operator,白い液体,白色液体,
*,新規画像設定,新建图像设置,
*,AO設定,AO 设置,
*,擬似AO設定,伪 AO 设置,
*,ヘミライト設定,半球灯设置,
*,光源設定,光源设置,
*,しきい値,阈值,
*,ぼかし,模糊,
*,金属設定,金属设置,
*,ヘアー設定,头发设置,
*,縁設定,边缘设置,
# misc_RENDER_PT_render.py
Operator,CM3D2メニュー用のアイコンをレンダリング,渲染 CM3D2 风格图标,
*,CM3D2内のアイコン画像に使用できそうな画像をレンダリングします,渲染一个与官方图标非常相似的小图标,
*,背景色,背景色,
*,カメラ角度,相机角度,
*,カメラ移動,相机移动,
*,隅を丸める,圆角,
*,重ねる画像,叠加图像,
*,線の色,线条颜色,
*,線の太さ,描边粗细,
*,面のテクスチャで,使用面纹理 ,
*,今のマテリアルで,使用当前材质,
*,解像度,分辨率,
*,背景を使用,使用背景,
*,輪郭線を描画,绘制描边,
*,ズーム倍率,缩放倍率,
*,テクスチャ参照方法,纹理引用方式,
*,輪郭線,轮廓线,# This emtry may have been malformed
# misc_TEXTURE_PT_context_texture.py
*,値リスト,值列表,
*,toon tex 選択,选择 Toon tex,
*,テクスチャの画像を同フォルダにtexとして保存します,将纹理图像作为 tex 文件保存到同一文件夹,
Operator,テクスチャを探す,查找纹理,
*,指定の画像をUV/画像エディターに表示します,在 UV/图像编辑器中显示指定图像,
Operator,色設定値を自動設定,自动设置颜色参数值,
*,色関係の設定値をテクスチャの色情報から自動で設定します,根据纹理颜色信息自动设置颜色相关参数值,
*,全てが対象,全部应用,
*,彩度の乗算値,饱和度乘数,
*,明度の乗算値,亮度乘数,
Operator,イメージの再読込み,重新加载图像,
*,実ファイルパスの設定から、再読込み,从实际文件路径重新读取,
Operator,テクスチャのオフセットをリセット,重置纹理偏移,
*,"テクスチャのオフセットに初期値(0, 0)を設定します","将纹理偏移重置为初始值 (0, 0)",
Operator,テクスチャのスケールをリセット,重置纹理缩放,
*,"テクスチャのスケールに初期値(1, 1)を設定します","将纹理缩放重置为初始值 (1, 1)",
Operator,CM3D2パスを設定,设置 CM3D2 路径,
*,texタイプのCM3D2パスを自動設定します,自动设置 tex 类型的 CM3D2 路径,
Operator,色設定値を設定,设置颜色参数值,
*,色タイプの設定値を設定します,设置颜色类型的参数值,
Operator,トゥーンを選択,选择 Toon 纹理,
*,CM3D2にデフォルトで入っているトゥーンテクスチャを選択できます,可选择 CM3D2 默认内置的 Toon 纹理,
Operator,設定値を設定,设置参数值,
*,floatタイプの設定値を設定します,设置 float 类型的参数值,
Operator,イメージ名から拡張子を除外,从图像名中排除扩展名,
*,texタイプのイメージ名から拡張子を除外します,从 tex 类型图像名中排除扩展名,
Operator,設定をプレビューに同期,同步设置到预览,
*,設定値をテクスチャのプレビューに適用してわかりやすくします,将设置值应用到纹理预览，便于查看,
*,設定値タイプ:,设置值类型：,
*,設定値名,设置值名称,
*,ノード({})のテクスチャを再設定しました。filepath={},已重新设置节点 ({}) 的纹理。filepath={},
*,対象のイメージが見つかりません={},未找到目标图像={},
*,同フォルダにtexとして保存しました。,已作为 tex 保存到同一文件夹。,
*,指定された画像が見つかりません,找不到指定图像,
*,画像を表示できるエリアが見つかりませんでした,找不到可显示图像的区域,
*,見つかりませんでした,未找到,
*,テクスチャノードが見つからないため、スキップしました。,由于未找到纹理节点，已跳过。,
*,対象のノードが見つかりません={},未找到目标节点={},
*,イメージの取得に失敗しました。{},获取图像失败。{},
*,テクスチャファイルを読み込みました。file={},已加载纹理文件。file={},
*,テクスチャ名:,纹理名：,
*,テクスチャパス,纹理路径,
*,拡大/縮小:,放大/缩小：,
*,テクスチャファイルが見つかりませんでした。file={},找不到纹理文件。file={},
*,イメージが設定されていません。,未设置图像,
Operator,Disabled,禁用,
Operator,Never,从不,
Operator,Less ,小于,
Operator,Equal,等于,
Operator,LessEqual,小于等于,
Operator,Greater,大于,
Operator,NotEqual,不等于,
Operator,GreaterEqual,大于等于,
Operator,Always,总是,
# misc_TEXT_HT_header.py
Operator,テキストのボーン情報をコピー,复制骨骼文本信息,
*,テキストのボーン情報をカスタムプロパティへ貼付ける形にしてクリップボードにコピーします,将骨骼信息转换为可用于自定义属性的格式，并复制到剪贴板,
Operator,テキストのボーン情報を貼付け,粘贴骨骼文本信息,
*,クリップボード内のボーン情報をテキストデータに貼付けます,将剪贴板中的骨骼信息粘贴到文本数据中,
Operator,マテリアル情報テキストを全削除,删除所有材质数据,
*,CM3D2で使用できるマテリアルテキストを全て削除します,删除所有可在 CM3D2 中使用的材质文本数据,
*,使用する分は保管,保留已使用材质,
Operator,テキストを表示,显示文本,
*,指定したテキストをこの領域に表示します,在此区域显示指定文本,
*,テキスト名,文本名称,
*,CM3D2用:,用于 CM3D2：,
Operator,BoneData ({})Operator,骨骼数据BoneData ({})操作,
Operator,LocalBoneData ({})Operator,局部骨骼数据LocalBoneData ({})操作,
# misc_VIEW3D_MT_edit_mesh_specials.py
Operator,選択面の描画順を最前面に,先绘制此对象,
*,選択中の面の描画順を最も前面/背面に並び替えます,将当前选中面的绘制顺序重新排列到前面/后面,
*,最背面,最后面,
Operator,選択面の描画順を最背面に,将选中面的渲染顺序设为最后,
# misc_VIEW3D_MT_pose_apply.py
Operator,現在のポーズで素体化,按当前姿势生成素体,
*,現在のポーズで衣装をモデリングしやすくする素体を作成します,将根据当前姿势创建一个便于进行服装建模的素体,
*,関係するメッシュのアーマチュアを適用,应用相关网格的骨架修改器,
*,アーマチュア適用は体積を維持,应用骨架时维持体积,
*,Keep Original,保留原有,
*,"If the armature is already primed, don't replace the base pose with the current rest pose",如果骨架已经设置了参考姿态（Primed），不要用当前的静止姿态（Rest Pose）替换基础姿态,
*,Ensure shape key values of child mesh objects are not changed,确保子级网格对象的形态键数值不被改变,
*,Swap Prime Field,交换参考字段（Swap Prime Field）,
Operator,Copy Prime Field,复制参考字段（Copy Prime Field）,
*,Copies the visual pose of the selected object to the prime field of the active object,将所选对象的视觉姿态（Visual Pose）复制到活动对象的参考字段中,
*,Apply Prime,应用参考姿态（Apply Prime）,
*,Key Location,位置关键帧,
*,Key Rotation,旋转关键帧,
*,Key Scale,缩放关键帧,
# misc_VIEW3D_PT_tools_weightpaint.py
Operator,選択部の頂点グループをぼかす,平滑所选部分的顶点组,
*,選択メッシュの頂点グループの割り当てをぼかします,平滑所选网格中选中部分的顶点组权重。,
*,ウェイトをぼかす回数,权重平滑次数,
*,ぼかしモード,平滑模式,
*,通常・ぼかし,常规平滑,
*,増加・拡張,增加/扩张,
*,減少・縮小,减少/收缩,
*,ウェイトをぼかす範囲倍率,权重平滑范围倍率,
*,ウェイト数を4つに制限,将权重数限制为 4 个,
*,選択をぼかす分割精度,选区平滑精度,
*,選択をぼかす範囲倍率,选区平滑范围倍率,
*,リニア,线性,
*,スムーズ,平滑,
*,対象頂点グループ,目标顶点组,
Operator,選択部の頂点グループに四則演算,对所选部分的顶点组执行四则运算,
*,選択メッシュの頂点グループの割り当てに四則演算を施します,对所选网格中顶点组的权重分配执行四则运算,
*,四則演算モード,四则运算模式,
*,加算,相加,
*,減算,相减,
*,乗算,相乘,
*,除算,相除,
*,頂点選択モード,顶点选择模式,
Operator,選択部をぼかす,平滑选中部分,
Operator,選択部に四則演算,对选中部分执行四则运算,
*,選択をぼかす,平滑选区,
*,範囲 | 辺の長さの平均×,范围 | 边长平均值 ×,
*,精度 (分割数),精度（分割数）,
*,頂点グループをぼかす,平滑顶点组,
*,対象グループ,目标组,
*,実行回数,执行次数,
*,四則演算,四则运算,
*,0で除算することはできません、中止します,不能除以零，操作中止,
# model_export.py
*,カスタムメイド3D2のmodelファイルを書き出します,以 CM3D2 .model 格式导出网格,
*,基点ボーン名,基础骨骼（BaseBone）,
*,ボーン情報元,骨骼数据来源,
*,modelファイルに必要なボーン情報をどこから引っ張ってくるか選びます,导出时骨骼数据的来源,
*,オブジェクト内プロパティ,物体数据,
*,接空間情報出力,导出切线,
*,"接空間情報(binormals, tangents)を出力する",将数据导出到 JSON 文件,
*,Align to Base Bone,对齐到基础骨骼（BaseBone）,
*,Align the object to it's base bone,将对象对齐到其基础骨骼（BaseBone）,
*,データ名の連番を削除,删除重复名称编号,
*,「○○.001」のような連番が付属したデータ名からこれらを削除します,这将删除附加在重复名称后的数字，例如 [xxx.001],
*,バッチモード,分批模式,
*,モードの切替やエラー個所の選択を行いません,不切换模式，也不选择错误的位置,
*,ウェイトの合計を1.0に,规范化顶点权重,
*,クリーンな頂点グループ,清理顶点组,
*,重みがゼロの場合、頂点グループから頂点を削除します,当权重为 0 时，从顶点组中移除顶点,
*,頂点グループ名をCM3D2用に変換,将顶点组名称转换为 CM3D2 格式,
*,全ての頂点グループ名をCM3D2で使える名前にしてからエクスポートします,导出前将所有顶点组名称改为 CM3D2 可用的格式,
*,四角面を三角面に,将四边面转为三角面,
*,,将非三角面三角化,
*,ウェイトの合四角ポリゴンを三角ポリゴンに変換してから出力します、元のメッシュには影響ありません計を1.0に,规范化权重,
*,4つのウェイトの合計値が1.0になるように正規化します,将 4 个权重的总和规范化为 1.0,
*,マテリアル情報元,材质信息来源,
*,modelファイルに必要なマテリアル情報をどこから引っ張ってくるか選びます,选择 model 文件所需的材质信息从何处获取,
*,model名,模型名称,
*,model version 2001 (available only for com3d2),模型版本 2001（仅适用于 COM3D2）,
*,model version 2000 (com3d2 version),模型版本 2000（COM3D2 版本）,
*,model version 1000 (available for cm3d2/com3d2),模型版本 1000（适用于 CM3D2/COM3D2）,
*,メッシュオプション,网格选项,
*,modelのエクスポートが完了しました。{:.2f} 秒 file={},model 导出完成。用时 {:.2f} 秒，file={},
*,ウェイトが割り当てられていない頂点が見つかりました、中止します,发现存在未分配权重的顶点，操作中止,
*,ウェイトの合計が1.0を超えている頂点が見つかりました。正規化してください。超過している頂点の数:{},发现 {} 个顶点的权重总和大于 1.0。请先规范化权重。,
*,ウェイトの合計が1.0未満の頂点が見つかりました。正規化してください。不足している頂点の数:{},发现 {} 个顶点的权重总和小于 1.0。请先规范化权重。,
*,4つを超える頂点グループにある頂点が見つかりました。頂点グループをクリーンアップしてください。不足している頂点の数:{},发现有顶点被分配到了超过 4 个顶点组。请先清理顶点组。此类顶点数：{},
*,頂点が割り当てられていない{num}つのローカルボーンが見つかりました。 詳細については、ログを参照してください。,发现 {num} 个未分配任何顶点的局部骨骼。详见日志。,
*,頂点数がまだ多いです (現在{}頂点)。あと{}頂点以上減らしてください、中止します,顶点过多（{} 个顶点）。请移除 {} 个顶点。操作中止,
*,{}個のオブジェクトをマージしました,已合并 {} 个对象,
*,Could not find whether bone with index {index} was used. See console for more info.,无法确定索引为 {index} 的骨骼是否被使用。详见控制台,
*,Unexpected: used_local_bone[{key}] == {value} when len(used_local_bone) == {length},异常：当 len(used_local_bone) == {length} 时，used_local_bone[{key}] == {value},
# model_import.py
*,カスタムメイド3D2のmodelファイルを読み込みます,导入 CM3D2 的 model 文件,
*,アーマチュア生成,生成骨架,
*,ウェイトを編集する時に役立つアーマチュアを読み込みます,导入一个便于编辑权重的骨架,
*,不要なボーンを削除,删除不必要的骨骼,
*,ウェイトが無いボーンを削除します,删除没有权重的骨骼,
*,アーマチュアのカスタムプロパティ,骨架的自定义属性,
*,アーマチュアデータのカスタムプロパティにボーン情報を埋め込みます,将骨骼信息嵌入到骨架数据的自定义属性中,
*,オブジェクトのカスタムプロパティ,对象的自定义属性,
*,メッシュオブジェクトのカスタムプロパティにボーン情報を埋め込みます,将骨骼信息嵌入到网格对象的自定义属性中,
*,ボーン情報をテキストとして読み込みます,以文本形式读取骨骼信息,
*,頂点グループ名をBlender用に変換,将顶点组名称转换为 Blender 格式,
*,全ての頂点グループ名をBlenderの左右対称編集で使えるように変換してから読み込みます,读取前将所有顶点组名称转换为便于在 Blender 中进行镜像编辑的格式,
*,Use Custom Bones,使用自定义骨骼,
*,Use the currently selected object for custom bone shapes.,使用当前所选对象作为自定义骨骼形状,
*,テキストにマテリアル情報埋め込み,将材质信息嵌入到文本中,
*,シェーダー情報をテキストに埋め込みます,将着色器信息嵌入到文本中,
*,メッシュ生成,生成网格,
*,ポリゴンを読み込みます、大抵の場合オンでOKです,读取多边形，通常保持开启即可,
*,重複頂点を結合,合并重复顶点,
*,UVの切れ目でポリゴンが分かれている仕様なので、インポート時にくっつけます,由于此格式会在 UV 接缝处拆分多边形，因此导入时会将其合并回来,
*,全ての頂点に割り当てのない頂点グループを削除します,删除没有分配到任何顶点的顶点组,
*,シームをつける,标记缝合边,
*,UVの切れ目にシームをつけます,在 UV 接缝处标记缝合边,
*,Mark Sharp,标记锐边,
*,This will mark removed doubles on your mesh as sharp (or all free edges if not removing doubles).,这将把网格中移除重复点的位置标记为锐边（如果不移除重复点，则标记所有自由边）,
*,頂点グループを名前順ソート,按名称排序顶点组,
*,頂点グループを名前順でソートします,按名称对顶点组进行排序,
*,テクスチャキャッシュを再構成,重建纹理缓存,
*,texファイルを探す際、キャッシュを再構成します,查找 tex 文件时重建缓存,
*,メッシュ,网格,
*,頂点グループ,顶点组,
*,ボーン名をBlender用に変換,将骨骼名称转换为 Blender 格式,
*,Use Selected as Bone Shape,将所选对象用作骨骼形状,
*,ボーン情報埋め込み場所,骨骼信息嵌入位置,
*,modelのインポートが完了しました ({} {}/ {:.2f} 秒),model 导入完成（{} {} / {:.2f} 秒）,
*,これはカスタムメイド3D2のモデルファイルではありません,这不是 CM3D2 的 model 文件,
*,mate count: {num} of {count},mate 数量：{num} / {count},
*,material count: {num} of {count},材质数量：{num} / {count},
# tex_export.py
Operator,texファイルを保存,保存为 .tex,
*,CM3D2で使用されるテクスチャファイル(.tex)として保存します,将当前图像保存为 CM3D2 使用的纹理文件（.tex）。,
*,パス,路径,
*,COM3D2 1.13 or later,COM3D2 1.13 或更高版本,
*,CM3D2 1.49 ～ or COM3D2,CM3D2 1.49 及以上版本或 COM3D2,
*,旧フォーマット,旧格式,
*,texファイルを出力しました。,tex 文件已导出：,
*,texファイルの出力に失敗しました。{},导出 .tex 文件失败。{},
# tex_import.py
Operator,texファイルを開く,打开 tex 文件,
*,CM3D2で使用されるテクスチャファイル(.tex)を読み込みます,读取 CM3D2 使用的纹理文件（.tex）,
*,展開方法,展开方式,
*,内部にパックする,打包到内部,
*,PNGに変換してPNGを開く,转换为 PNG 并打开,
*,texファイルのヘッダが正しくありません。,tex 文件的文件头不正确,
*,未対応フォーマットのtexです。format=,不支持的 tex 格式。format=,
# translations.py
Operator,Dump Py Messages,导出 Python 消息,
*,Dump the CM3D2 Converter's messages for CSV translation,导出 CM3D2 Converter 的消息以供 CSV 翻译,
*,Do Checks,执行检查,
*,Do Reports,生成报告,
*,Language,语言,
*,Portuguese (Português),葡萄牙语 (Português),
*,Korean (한국 언어),韩语 (한국 언어),
*,Polish (Polski),波兰语 (Polski),
*,Bulgarian (Български),保加利亚语 (Български),
*,Uzbek Cyrillic (Ўзбек),乌兹别克语西里尔文 (Ўзбек),
*,Greek (Ελληνικά),希腊语 (Ελληνικά),
*,Turkish (Türkçe),土耳其语 (Türkçe),
*,German (Deutsch),德语 (Deutsch),
*,Vietnamese (tiếng Việt),越南语 (tiếng Việt),
*,Romanian (Român),罗马尼亚语 (Român),
*,Finnish (Suomi),芬兰语 (Suomi),
*,Spanish (Español),西班牙语 (Español),
*,Ukrainian (Український),乌克兰语 (Український),
*,Amharic (አማርኛ),阿姆哈拉语 (አማርኛ),
*,Traditional Chinese (繁體中文),繁体中文 (繁體中文),
*,Italian (Italiano),意大利语 (Italiano),
*,Automatic (Automatic),自动 (自动),
*,Swedish (Svenska),瑞典语 (Svenska),
*,Basque (Euskara),巴斯克语 (Euskara),
*,Esperanto (Esperanto),世界语 (Esperanto),
*,Serbian Latin (Srpski latinica),塞尔维亚语拉丁文 (Srpski latinica),
*,Estonian (Eestlane),爱沙尼亚语 (Eestlane),
*,English (English),英语 (English),
*,Arabic (ﺔﻴﺑﺮﻌﻟﺍ),阿拉伯语 (ﺔﻴﺑﺮﻌﻟﺍ),
*,Czech (Český),捷克语 (Český),
*,Simplified Chinese (简体中文),简体中文 (简体中文),
*,Spanish from Spain (Español de España),西班牙西班牙语 (Español de España),
*,French (Français),法语 (Français),
*,Hebrew (תירִבְעִ),希伯来语 (תירִבְעִ),
*,Catalan (Català),加泰罗尼亚语 (Català),
*,Serbian (Српски),塞尔维亚语 (Српски),
*,Thai (ภาษาไทย),泰语 (ภาษาไทย),
*,Hungarian (Magyar),匈牙利语 (Magyar),
*,Hausa (Hausa),豪萨语 (Hausa),
*,Kazakh (қазақша),哈萨克语 (қазақша),
*,Hindi (मानक हिन्दी),印地语 (मानक हिन्दी),
*,Japanese (日本語),日语 (日本語),
*,Russian (Русский),俄语 (Русский),
*,Brazilian Portuguese (Português do Brasil),巴西葡萄牙语 (Português do Brasil),
